name,category,tags,team_or_individual,team_size_min,team_size_max,grade_min,grade_max,cost_tier,cost_detail,advisor_required,registration_owner,start_by_date,deadline_display,deadline_date,deadline_type,time_commitment,full_timeline,what_it_is,what_you_need_to_do,source_url,verification_status,last_checked,notes,active
JFK Profile in Courage Essay Contest,Civics & Policy,Civics|Writing|History,Individual,1,1,9,12,Free,Free to enter.,FALSE,Student,,"Submissions close January 11, 2027",2027-01-11,Submission,Weeks,"Submissions open September 1, 2026 and close January 11, 2027.",A national writing contest hosted by the John F. Kennedy Library Foundation honoring acts of political courage by elected officials.,"Write a 700 to 1,000 word essay analyzing an act of political courage by a U.S. elected official who served during or after 1917. Detail the specific act, the obstacles and pressure the official faced, and the personal or political risks they accepted. The act can be at the local, state, national, or international level.",https://www.jfklibrary.org/learn/education/profile-in-courage-essay-contest,Verified-Official,,,TRUE
Voice of Democracy (VFW),Civics & Policy,Civics|Writing|Public Speaking|Scholarship,Individual,1,1,9,12,Free,Free to enter.,FALSE,Student,,"Submissions due October 31, 2026",2026-10-31,Submission,Weeks,"Submissions due October 31, 2026. Judged first by the local post, then district, state, and national rounds with scholarship money at each level.","The Veterans of Foreign Wars audio-essay contest, in which high school students record their views on an annual patriotic theme.","Write and record a 3 to 5 minute audio essay on the annual patriotic theme, then submit the audio file with an entry form to your local VFW Post. Set up a free user profile, fill out the entry forms digitally, upload the files, and select your post so the local committee can judge it.",https://www.vfw.org/community/youth-and-education/youth-scholarships,Verified-Official,,"Mercer Island is VFW Post 5760 (vfwmercerisland.org). Do NOT say your name, school, city, or state anywhere in the written text or the audio recording. Judged first at a local post, so the first-round field is small.",TRUE
American Legion Oratorical Contest,Civics & Policy,Civics|Constitution|Public Speaking|Scholarship,Individual,1,1,9,12,Free,Free to enter.,FALSE,Student,,Contact a local sponsor chapter by early January 2027,2027-01-01,Registration,Weeks,"Applications open November 1, 2026 via waconstitutionalspeechcontest.org. Typical deadline to contact a local King County sponsor chapter and submit an initial speech draft or video is early January 2027. Hard application deadline February 1, 2027. Post and district rounds February through March 2027. State finals at Big Bend Community College, Moses Lake, WA, April 2-3, 2027. National Finals in Indianapolis, IN, April 22-24, 2027.",A constitutional speech contest designed to build knowledge and appreciation of the U.S. Constitution among high school students.,"Prepare and deliver an 8 to 10 minute memorized speech on an aspect of the U.S. Constitution, then deliver a 3 to 5 minute speech on a randomly drawn constitutional topic.",https://www.legion.org/oratorical,Verified-Official,,"Must be under age 20. Washington entries go through waconstitutionalspeechcontest.org. The early-January sponsor-chapter contact is the operative deadline. The February 1, 2027 application form date is a hard backstop, not the date to plan around.",TRUE
Coolidge Scholarship,Civics & Policy,Civics|Public Policy|Writing|Scholarship,Individual,1,1,11,11,Free,Free to apply.,FALSE,Student,,Final deadline expected around December 2026,2026-12-15,Submission,Weeks,Application portal opens late summer or early fall 2026 on the Coolidge Scholars Apply page. Final deadline expected around December 2026.,"A full-ride undergraduate scholarship from the Calvin Coolidge Presidential Foundation, awarded on academic merit, public policy interest, and commitment to public service.","Complete an extensive online application with several short and long essays on Calvin Coolidge, public policy, and leadership, plus letters of recommendation and transcripts.",https://coolidgescholars.org/,Unverified-Typical,,"ELIGIBILITY: grade 11 ONLY, juniors at the time of applying. Seniors are ineligible with no exceptions. Exact deadline not yet published, date shown is a projection. Recommendation letters take weeks to secure, so start in the fall.",TRUE
Harvard International Review Essay Contest,Civics & Policy,Civics|International Affairs|Writing,Both,1,2,9,12,Under $50,$15 to $20 registration fee.,FALSE,Student,,"Fall/Winter article submissions due January 2, 2027",2027-01-02,Submission,Weeks,"Multiple cycles annually: Spring deadline in May, Summer deadline in August, Fall/Winter deadline January 2, 2027. Top applicants advance to Defense Day to present their argument to HIR judges.",An academic writing competition hosted by the Harvard International Review encouraging analytical writing on international affairs.,"Write an 800 to 1,200 word analytical, non-opinion article on one of the designated international affairs prompts, in AP Style. Top applicants advance to Defense Day.",https://hir.harvard.edu/contest/,Verified-Official,,"You must REGISTER separately to compete, submitting alone is not enough. Non-opinion means analytical, an op-ed will score badly.",TRUE
LegalEagleBee Case and Defense Challenges,Civics & Policy,Civics|Law|Constitution,Both,1,,9,12,,Costs range based on which event you enter. Check the site per event.,FALSE,Student,,"9th Case Competition August 30, 2026, 12:00 to 1:00 PM PT",2026-08-30,Competition date,One day,"9th Case Competition August 30, 2026, 12-1 PM PT. Legal Defense Global Challenge registration is open now and closes when the 500-team cap is reached. Stage 1 deadline October 1, 2026. Stage 2 deadline October 29, 2026.","An online legal knowledge and case analysis competition testing students on landmark Supreme Court cases, constitutional law, and judicial reasoning.","Study landmark Supreme Court precedents, then take an online exam on case facts, constitutional principles, and judicial opinions.",https://www.legaleaglebee.com/,Verified-Official,,"COST TIER BLANK: fee varies by event and is not stated as a single figure. The Global Challenge closes at a 500-team cap, not on a date, so it can close early. The Case Competition is a one-hour commitment.",TRUE
Columbia Undergraduate Law Review High School Essay Contest,Civics & Policy,Civics|Law|Writing,Individual,1,1,9,12,Free,Free to enter.,FALSE,Student,,"2027 submission window expected to close June 26, 2027",2027-06-26,Submission,Weeks,"2027 competition is TBA. Submission window expected to end June 26, 2027. Monitor the official site.","An annual writing contest from the Columbia Undergraduate Law Review inviting high schoolers to analyze legal, social, and constitutional issues.",Write a researched academic essay responding to the annual legal prompt in Chicago citation style. Your response must reference at least one court case or legal document.,https://www.culawreview.org/high-school-essay-contest,Unverified-Typical,,"2027 dates are TBA. The date shown is expected, not confirmed. Recheck before publishing.",TRUE
Harvard Political Review Global Policy Case Competition,Civics & Policy,Civics|Public Policy|Writing,Both,1,5,9,12,$50-200,"$45 to $85 registration fee per student, depending on submission deadline tier.",FALSE,Student,,"Priority deadline passed August 1, 2026. Later tiers still open.",2026-10-01,Registration,Weeks,"Priority deadline passed August 1, 2026. Later registration tiers remain open at higher fees. Final deadline not stated in source.",An international policy writing competition from the Harvard Political Review testing analytical and political writing.,"Select a prompt on a pressing economic or global political issue and write an 800 to 1,200 word opinion article presenting an original policy argument in AP Style.",https://pages.algoed.co/hpr/global-policy-case-competition,Unverified-Typical,,"DEADLINE BLANK: only the passed priority deadline is documented, no final date. Fee rises the later you register. Confirm the final deadline before publishing.",TRUE
Bill of Rights Institute MyImpact Challenge,Civics & Policy,Civics|Service|Writing|Scholarship,Individual,1,1,9,12,Free,Free to enter.,FALSE,Student,2026-09-01,"Submissions due May 3, 2027, 11:59 PM PT",2027-05-03,Submission,Semester-long,"Submissions open September 2026, deadline May 3, 2027. Fall: pick your community topic, design the project, and choose a Civic Virtue and Founding Principle. Winter: run the project and document it with photos and video. Spring: write the essay and project report and submit.",A service-learning competition where you run a local volunteer or civic project and connect it in writing to American founding principles and civic virtues.,"Write an essay of up to 1,200 words connecting your community project to at least one Founding Principle and one Civic Virtue from the BRI framework, plus a 2,000 word project report breaking down what you actually did.",https://billofrightsinstitute.org/videos/how-to-apply-myimpact-challenge/,Verified-Official,,"START BY SEPTEMBER 1, 2026. This is a year-long commitment disguised as an essay contest: the community project has to actually run in fall and winter before you can write about it in spring. A student who finds this in April has already missed it. Open to grades 8 to 12, ages 13 to 19.",TRUE
Constituting America We the Future Contest,Civics & Policy,Civics|Constitution|Writing|Media|Scholarship,Both,1,2,9,12,Free,Free to enter.,FALSE,Student,,"Submissions close May 31, 2027",2027-05-31,Submission,Weeks,"Submission window is open now and closes May 31, 2027.","A creative civic competition inspiring students to study the U.S. Constitution and founding documents through academic and artistic mediums. Awards scholarships up to $5,000, national exposure, and a paid winner mentorship trip.","Create and submit an original project based on your grade category prompt. Depending on age group this can be a written essay, a song, a short film, a PSA, a social media video, or a tech or STEM project.",https://constitutingamerica.org/enter-new/,Verified-Official,,"Ages 14-19. Entries must be completely free of AI assistance. Team of 2 applies to the STEM category only. If under 18, a parent, guardian, or teacher must assist with the upload.",TRUE
Princeton Legal Journal High School Essay Contest,Civics & Policy,Civics|Law|Writing|Publication,Individual,1,1,9,12,Under $50,$15 submission fee.,FALSE,Student,,Submissions expected mid-May 2027,2027-05-15,Submission,Weeks,New prompt drops early spring 2027. Submission deadline expected mid-May 2027. Top three authors go through a collaborative editing process with the board and are published in the journal.,"An annual legal writing competition run by the undergraduate editorial board of the Princeton Legal Journal, with publication for the top three authors.","Research and draft an analytical essay between 1,500 and 3,000 words excluding footnotes, answering the annual constitutional legal theme. Proper legal academic citations are mandatory.",https://legaljournal.princeton.edu/high-school-essay-contest/,Unverified-Typical,,"Date is expected mid-May, not confirmed. Submissions are reviewed anonymously, so identifying information in the essay body or file metadata can disqualify you.",TRUE
United States Senate Youth Program (USSYP),Civics & Policy,Civics|Public Policy|Leadership|Scholarship,Individual,1,1,11,12,Free,Free to apply.,TRUE,Student,,"Washington State deadline September 25, 2026, 4:00 PM PT",2026-09-25,Submission,Weeks,"WA state deadline September 25, 2026 at 4:00 PM PT. Other state windows close through September and October 2026. Selected delegates must attend Washington Week, March 6-13, 2027.","A highly selective national program funded by The Hearst Foundations that selects two student delegates per state for an intensive public service week in Washington D.C. Delegates receive a $12,500 undergraduate scholarship.","Apply through your state education department portal. The bundle requires an activities resume, transcripts, letters of recommendation from school administrators, and a response to the Washington state 2026-27 essay prompt. If selected you must attend the full Washington Week program to receive the scholarship.",https://www.awsleaders.org/senate-youth,Verified-Official,,"ELIGIBILITY: must currently hold a high-level elected or appointed leadership position such as Student Body or Class President, VP, Secretary, Treasurer, or Student Council Rep. The student applies individually, but the application requires recommendation letters from school administrators, which take weeks to obtain. Request them first.",TRUE
YoungArts National Writing Competition,Writing & Humanities,Writing|Creative Writing|Poetry|Fiction|Scholarship,Individual,1,1,10,12,Under $50,"$35 registration fee, fee waivers available.",FALSE,Student,,"Submissions close October 6, 2026, 5:00 PM PT",2026-10-06,Submission,Weeks,"Submission portal is open now with a deadline of October 6, 2026 at 5:00 PM PT.","The premier national recognition program and talent search for high school writers, hosted by the National YoungArts Foundation.","Submit a creative writing portfolio through the YoungArts portal in Creative Nonfiction, Fiction, Novel, Play or Screenplay, Poetry, or Spoken Word.",https://youngarts.org,Verified-Official,,"Ages 15-18. A portfolio, not a single piece, so pieces need to already exist. Fee waivers are available in the platform.",TRUE
Ayn Rand Institute Essay Contests,Writing & Humanities,Writing|Literature|Philosophy|Essay,Individual,1,1,8,12,Free,Free to enter.,FALSE,Student,,"Atlas Shrugged closes November 6, 2026",2026-11-06,Submission,Weeks,"Staggered deadlines by book. Atlas Shrugged closes November 6, 2026. Anthem closes April 30, 2027. The Fountainhead closes April 30, 2027.",A long-standing series of literary essay competitions evaluating critical thinking on the philosophical concepts in Ayn Rand's novels.,"Read the designated novel and submit an analytical, text-supported essay answering strict pre-published prompts.",https://aynrand.org,Verified-Official,,"GRADE VARIES BY BOOK: Anthem is grades 8-10, The Fountainhead is grades 11-12, Atlas Shrugged is grade 12 plus undergraduate and graduate. The soonest deadline shown is Atlas Shrugged, which seniors only are eligible for.",TRUE
Bennington Young Writers Awards,Writing & Humanities,Writing|Poetry|Fiction|Nonfiction,Individual,1,1,9,12,Free,Free to enter.,TRUE,Student,,"Submissions close November 1, 2026",2026-11-01,Submission,Weeks,"Submissions open September 1, 2026 and close November 1, 2026.","A national creative writing competition hosted by Bennington College recognizing original fiction, nonfiction, and poetry.","Submit original work under 1,500 words in one of three categories: Poetry (a collection of 1 to 3 poems), Fiction (a short story or standalone excerpt), or Nonfiction (a personal or academic essay).",https://www.bennington.edu/events/bennington-young-creators-awards/bennington-young-writers-awards,Verified-Official,,Requires sponsor teacher approval even though the student submits directly. Ask the teacher before the last week of October.,TRUE
Patricia Grodd Poetry Prize for Young Writers,Writing & Humanities,Writing|Poetry,Individual,1,1,10,11,Free,Free to enter.,FALSE,Student,,Portal open November 1 to November 30 only,2026-11-30,Submission,One weekend,The application portal is open strictly from November 1 through November 30. No submissions outside that window.,"An internationally respected youth poetry award from the editors of The Kenyon Review, one of the most selective literary magazines in the country.","Submit one single original unpublished poem, any length, any style.",https://kenyonreview.org,Verified-Official,,"ELIGIBILITY: grades 10 and 11 ONLY. Seniors and freshmen are ineligible. One poem, free, thirty-day window. Lowest effort entry in this category.",TRUE
Scholastic Art & Writing Awards,Writing & Humanities,Writing|Art|Poetry|Journalism|Essay,Individual,1,1,9,12,Under $50,"$10 per individual entry, $30 per portfolio. Fee waivers available inside the platform.",TRUE,Student,,"December 1, 2026 for Region-at-Large West",2026-12-01,Submission,Weeks,"December 1, 2026 for early regions including Region-at-Large West. Later regions run to January 6, 2027. Regional judging feeds national recognition.","The nation's longest-running and most prestigious creative recognition program for middle and high school students, spanning 28 categories of art and writing.","Submit original artwork or writing through the online system to your regional affiliate. Categories include short stories, critical essays, poetry, journalism, and visual art portfolios.",https://artandwriting.org,Verified-Official,,"King County students register under the Region-at-Large West affiliate, deadline December 1. Confirm your affiliate by school location, the national date is not your date. Account setup requires parent or guardian and educator approval, so start before Thanksgiving.",TRUE
The Concord Review,Writing & Humanities,Writing|History|Research|Publication,Individual,1,1,8,12,$50-200,$70 submission fee.,FALSE,Student,,"Next quarterly deadline November 1, 2026",2026-11-01,Submission,Semester-long,"Fixed quarterly submission dates: November 1, February 1, May 1, and August 1. Next is November 1, 2026.",The only quarterly peer-reviewed academic journal in the world that publishes independent history research papers written by secondary school students.,"Write and submit an original, deeply researched history paper between 5,000 and 15,000 words with comprehensive Turabian or Chicago-style endnotes.",https://tcr.org,Verified-Official,,"5,000 words minimum is a semester of work, not an essay. The quarterly cycle means missing November costs you three months, not a year. Highest word count and highest fee in this category.",TRUE
New York Times Student Contests,Writing & Humanities,Writing|Journalism|Multimedia|Essay,Both,1,,9,12,Free,Free to enter.,FALSE,Student,,"My Tiny Memoir closes October 28, 2026",2026-10-28,Submission,One weekend,"My Tiny Memoir, a 100-word narrative, runs September 16 to October 28, 2026. Roughly six more contests run across the rest of the year, each with its own window.","A year-long series of writing, commentary, and multimedia challenges from The New York Times Learning Network.","Produce and submit work answering the seasonal contest prompt, using NYT articles or original self-expression depending on the contest.",https://nytimes.com,Verified-Official,,"Ages 13-19. Seven or so separate contests per year, each with its own deadline and format. The date shown is the next one, not the only one. A 100-word memoir is the cheapest entry on this entire hub.",TRUE
National History Day,Writing & Humanities,Writing|History|Research|Multimedia,Both,1,5,9,12,Under $50,"Free to $15, varies by region and district.",TRUE,Teacher,,Regional registration mid-February 2027,2027-02-15,Registration,Semester-long,"School-level contests January to early February 2027 if more than one team competes. Regional registration mid-February 2027. Washington State History Day Finals late April to early May 2027. National Finals at the University of Maryland, College Park, June 13-17, 2027.",An annual project-based historical research competition built around primary-source research on a yearly theme.,"Conduct original historical research and present it in one of five formats: Documentary, Exhibit, Paper, Performance, or Website. Compete through local, regional, and state levels to reach Nationals.",https://nhd.org,Verified-Official,,BLOCKER: requires a sponsoring teacher to register the school. Senior Division is grades 9-12. Research must start in the fall to be ready for a January school contest.,TRUE
AFSA National High School Essay Contest,Writing & Humanities,Writing|Civics|International Affairs|Essay,Individual,1,1,9,12,Free,Free to enter.,FALSE,Student,,"Submissions close March 1, 2027, 8:59 PM PST",2027-03-01,Submission,Weeks,"Portal opens in early fall when the prompt is announced, usually September or October 2026. Closes March 1, 2027 at 8:59 PM PST.",A civics and diplomacy essay contest run by the American Foreign Service Association to engage students in the role of international relations.,"Write a 1,000 to 1,500 word analytical essay on the annual prompt, identifying how the U.S. Foreign Service resolved an international crisis or peace-building mission.",https://afsa.org/essay-contest,Verified-Official,,ELIGIBILITY: strictly limited to children of U.S. citizens who are NOT members of the Foreign Service. Check this before writing.,TRUE
Princeton Ten-Minute Play Contest,Writing & Humanities,Writing|Playwriting|Theater,Individual,1,1,11,11,Free,Free to enter.,FALSE,Student,,"Portal launches January 2027, closes at 250 submissions",2027-01-15,Submission,Weeks,"Digital submission portal launches January 2027. A strict quota of 250 submissions shuts the portal for the year, so it can close early.",A national playwriting competition organized by the Lewis Center for the Arts at Princeton University.,Write and submit an original short play up to 10 pages in standard theatrical script format.,https://princeton.edu,Unverified-Typical,,"ELIGIBILITY: grade 11 ONLY. CLOSES AT A CAP, NOT A DATE: 250 submissions ends it. Have the script finished before January or the portal may be gone. Date shown is an estimate of the opening, not a published deadline.",TRUE
Adroit Prizes for Poetry and Prose,Writing & Humanities,Writing|Poetry|Fiction|Nonfiction,Individual,1,1,9,12,Under $50,"$15, financial waivers available.",FALSE,Student,,"Submissions close May 1, 2027",2027-05-01,Submission,Weeks,"Submissions open April 1 and close May 1, 2027. One-month window.",Highly selective international creative writing prizes awarded annually by the editors of The Adroit Journal.,"Submit up to six poems for the Poetry Prize, or up to three stories or essays totaling under 3,500 words for the Prose Prize.",https://theadroitjournal.org,Verified-Official,,"Open to high schoolers and undergraduates, so you are competing against college students. One-month window with no early submission.",TRUE
Bow Seat Ocean Awareness Contest,Writing & Humanities,Writing|Art|Film|Poetry|Environment,Both,1,,9,12,Free,Free to enter.,FALSE,Student,,"Submissions due June 8, 2027",2027-06-08,Submission,Weeks,"Submissions open September 2026 and close June 8, 2027.",An international creative arts competition encouraging young people to advocate for ocean health and environmental conservation.,"Submit original work in Visual Art, Creative Writing, Film, Interactive and Multimedia, Performing Arts, or Poetry and Spoken Word addressing the annual environmental theme.",https://bowseat.org/programs/ocean-awareness-contest/,Verified-Official,,"Senior division is ages 15-18, Junior division ages 11-14. Cross-tags to STEM and environment, so it also fits a science-minded student.",TRUE
